sábana
semana
solucionar
saber
semilla
sombrero
sabotear
sencillo
someter
sabroso
sensato
sonido
sacar
sensible
sonriente
saciar
sentar
soñador
sacrificar
señal
soplar
sacudir
separar
soportar
sagaz
seriedad
sorprender
salado
servidumbre
sorteo
salir
severo
sospechar
saliva
significar
sostener
salón
silencioso
suave
salsa
silla
subir
saltar
silvestre
subjetiva
saludable
simpático
sublime
salvaje
simple
subrayar
salvar
simular
subsistir
sanar
simultáneo
suceder
sanción
sincera
sudar
sangre
sincronizar
sufrir
saqueo
sintetizar
sugerir
satisfacer
sirena
sujetar
saxofón
sistema
sumar
seco
situar
sumergir
secreto	
sobrevivir
superar
sed
sociable
suponer
seductor
sofisticada
supremo
seguir
sofocante
suspender
seguro
sol
suspirar
seleccionar
solicitud
sustancia
sello
sólido
sustituir
selva
solitario
sustraer
semáforo
soltar 
sutil
